compound,score
O=C(C1CCN(S(=O)(=O)c2c[nH]cn2)CC1)N1CCN(c2ncccn2)CC1,0
CC(=O)Nc1ccc(S(=O)(=O)NC2(C(F)(F)F)NC(=O)N(c3ccc(Cl)cc3)C2=O)cc1,0
Cc1nn(-c2ccccc2)c(C)c1-c1cc(C(=O)O)[nH]n1,0
CCOc1ccc(NC(=O)CSc2nnc(C)n2CC2CCCO2)cc1,0
O=C1C2C3C=CC(C3)C2C(=O)N1CNc1ccccc1,0
COc1ccc(NC(=O)CN2CCCCC2)cc1,1
COC(=O)CC1(Cc2ccccc2)C(=O)NC(=O)NC1=O,0
COC(=O)c1ccc(OCc2nc(N)nc(N3CCOCC3)n2)cc1,0
Cc1cc(O)n2nc(C(=O)O)nc2n1,0
CCCCNC(=O)N1CCOCCOCCN(C(=O)NCCCC)CCOCC1,0
COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,0
COc1ccc(CNC(=O)C2CCN(S(=O)(=O)c3ccc(-c4nn[nH]n4)cc3)CC2)cc1,0
CCCNC(=O)N1CCN(c2nc(C(C)C)c3c(c2C#N)CC(C)(C)OC3)CC1,1
CCOC(=O)NC(Nc1nc2ccccc2s1)(C(=O)OCC)C(F)(F)F,1
C=CCN1C(=O)C(Cc2ccc(F)cc2)SC1=NN=Cc1cccs1,0
Cc1sc(NC(=O)C2C3CCC(O3)C2C(=O)O)c(C(=O)OC(C)C)c1-c1ccc(Cl)cc1,1
O=C(O)CSCc1cn2cc(Cl)ccc2n1,0
CCc1ccc(O)c(N=Cc2cccc(C)c2O)c1,0
O=C(CSc1ncnc2c1cnn2CCc1ccccc1)Nc1ccc(F)cc1,1
COC(=O)c1[nH]c2ccc(Br)cc2c1NC(=O)CN1CCN(C2CCCCC2)CC1,1
CCSc1nc(O)c(Cc2ccccc2)c(O)n1,0
Oc1cc(O)nc(SCc2ccccc2Cl)n1,0
CCc1ccc(C(=O)CSc2n[nH]c(-c3ccncc3)n2)cc1,1
CCCCCn1c(Sc2ccccc2)nc2c1c(=O)[nH]c(=O)n2C,0
CC(=O)Nc1nc(CC(C)C)cc2c1c(=O)oc1ccccc12,0
COc1ccccc1-c1cc(C(=O)N2CCN(c3ccc(F)cc3)CC2)no1,0
Fc1ccc(Cn2c(-c3cscn3)nc3ccccc32)c(Cl)c1,0
O=C(CSc1nnc(-c2ccco2)o1)NC1CCCCCC1,1
CCC(C)N(C(=O)COC(=O)c1[nH]c(C)c(C(C)=O)c1C)C1CCS(=O)(=O)C1,0
Cc1c(NC(=S)NN=Cc2ccc(O)cc2)c(=O)n(-c2ccccc2)n1C,0
O=[N+]([O-])c1cnccc1Nc1ccccc1,1
CC(=C1C2C=CC1C1C(=O)NC(=O)C21)c1ccccc1,1
CCCCOC(=O)Nc1ccc(S(=O)(=O)Nc2cc(C)nc(C)n2)cc1,0
O=C1NCCCc2c1oc1cc(Br)c(O)c(Br)c21,0
O=C(Oc1ccccc1)N1CCC2(CC1)CN(c1ccncc1)C2,1
COc1ccc2[nH]cc(CCNc3ncncc3-c3ccc(C(=O)N(C)C)cc3)c2c1,1
CC(=O)c1c(C(C)=O)c(C)n(NC(=O)c2cccnc2)c1C,0
CCCCN1C(=O)NC(=O)C(=C(C)NCCN2CCOCC2)C1=O,0
COC(=O)C(C(=O)OC)C1CCCC(=O)C1,0
CCN(CC)CC(O)COCCC12CC3CC(CC(C3)C1)C2,0
C(#CCN1CCOCC1)COCc1ccccc1,0
Cc1cccc(OCC(=O)NC(=S)N2CCCc3ccccc32)c1,1
CN1CCN(Cc2oc(CO)cc(=O)c2O)CC1,0
C=CCOc1ccc(C(=O)C2=C(O)C(=O)N(CCOC)C2c2cccnc2)cc1,0
c1ccc(CNC2=NCCCCC2)cc1,0
CCn1c(Cc2cccs2)nnc1SCC(=O)c1ccc(C)cc1,1
CN(C)c1nc2c(c(=O)[nH]c(=O)n2C)n1Cc1ccccc1Br,0
